"code_postal","commune"
,"Genève"
,
44200,"Nantes"
44800,"st herblain"
44000,"NANTES"
"44430","Le Loroux-Bottereau"
,"Toulouse"
85190,"LA ROCHE SUR YON"
44000,"Nantes"
85140,"L'OIE"
75015,"Paris"
85270,"SAINT-HILAIRE-DE-RIEZ"
,
69008,"Lyon"
44470,"THOUARE SUR LOIRE"
44600,"SAINT NAZAIRE"
44800,"SAINT HERBLAIN"
69280,"Marcy L’étoile"
33400,"TALENCE"
44093,"Nantes"
94250,"GENTILLY"
44093,"Nantes"
,
44000,"Nantes"
,
,"Tunis"
44000,"NANTES"
44093,"Nantes"
,
44000,"NANTES"
44470,"THOUARE SUR LOIRE"
44300,"NANTES"
92100,"PARIS"
44240,"LA CHAPELLE SUR ERDRE"
"CANADA","MONTREAL"
4067,"BRISBANE"
75013,"PARIS"
,
,
,
91400,"ORSAY"
44000,"NANTES"
44000,"NANTES"
75018,"PARIS"
44000,"NANTES"
92400,"COURBEVOIE"
44300,"NANTES"
75005,"PARIS"
44800,"Saint Herblain"
68100,"MULHOUSE"
28380,"SAINT REMY SUR AVRE"
29260,"LE FOLGOET"
44700,"ORVAULT"
44830,"Brains"
44093,"Nantes"
85000,"LA ROCHE SUR YON"
"SUISSE","BASSEL"
44800,"Saint Herblain"
92284,"SURESNES"
44100,"NANTES"
91140,"VILLEBON SUR YVETTE"
"44000","Nantes"
56000,"VANNES"
44500,"LA BAULE"
44210,"PORNIC "
44340,"BOUGUENAIS"
44200,"NANTES"
69008,"LYON"
"DANEMARK",
44000,"NANTES"
,"Panama-city"
"PANAMA","PANAMA"
44115,"HAUTE GOULAINE"
35120,"VAIRE"
44200,"NANTES"
,
56100,"LORIENT"
,
,
64122,"Urrugne"
85000,"LA ROCHE SUR YON"
92130,"ISSY LES MOULINEAUX"
69000,"LYON"
35480,"GUIPRY MESSAC"
38000,"GRENOBLE"
56890,"SAINT AVE"
94250,"GENTILLY"
44410,"HERBIGNAC"
49100,"ANGERS"
44300,"NANTES"
92400,"COURBEVOIE"
44000,"Nantes"
44521,"COUFFE"
,
56450,"SURZUR"
75013,"PARIS"
76960,"NOTRE DATE DE BONDEVILLE"
44000,"NANTES"
,
44000,"NANTES"
44850,"NANTES"
28000,"CHARTRES"
44000,"NANTES"
35370,"TORCE"
44380,"PORNICHET"
44522,"ANCENIS"
41500,"MER"
44000,"NANTES"
44700,"ORVAULT"
92100,"BOULOGNE BILLANCOURT"
,
44600,"SAINT NAZAIRE"
44000,"NANTES"
,
44600,"SAINT NAZAIRE"
44000,"Nantes"
44100,"NANTES"
33140,"VILLENAVE D'ORMON"
,
92100,"BOULOGNE BILLANCOURT"
44470,"Carquefou"
44450,"DIVATTE SUR LOIRE"
44817,"SAINT HERBLAIN"
92400,"Courbevoie"
"44300","Nantes"
44880,"SAUTRON"
85150,"LES ACHARDS"
44470,"CARQUEFOU"
33500,"Libourne"
75017,"PARIS"
33076,"Bordeaux"
85180,"VENANSAULT"
44680,"CHAUMES EN RETZ"
75003,"Paris"
92563,"RUEIL MALMAISON"
44000,"Nantes"
44000,"NANTES"
37000,"TOURS"
85460,"L'AIGUILLON SUR MER"
44470,"THOUARE SUR LOIRE"
75007,"PARIS"
92300,"Levallois-Perret"
,
,
,
44000,"NANTES"
,
35000,"Rennes"
44100,"Nantes"
44600,"st nazaire"
,
,
85500,"LES HERBIERS"
,
,
44100,"NANTES"
,
,
,
33500,"Libourne"
94200,"IVRY SUR SEINE"
,
92110,"CLICHY"
44400,"Reze"
97460,"SAINT PAUL"
"44000","NANTES"
"75008","PARIS"
44100,"NANTES"
,
,
"44035","Nantes"
,
,
85660,"SAINT PHILBERT DE BOUAINE"
,
,
44100,"NANTES"
"92400","Courbevoie"
,
92000,"ISSY LES MOULINEAUX"
75001,"Paris"
